# time,atp
4.709812108559499499e+00,9.812774438985671921e-01
4.810020876826722969e+00,9.855383831732474897e-01
4.910229645093945550e+00,9.897587954744434535e-01
5.010438413361169019e+00,9.939379546337271387e-01
5.110647181628392488e+00,9.980751415807281868e-01
5.210855949895615957e+00,1.002169644466857523e+00
5.311064718162839426e+00,1.006220758787789382e+00
5.411273486430062896e+00,1.010227787504677899e+00
5.511482254697286365e+00,1.014190041164091838e+00
5.611691022964509834e+00,1.018106838016640925e+00
5.711899791231733303e+00,1.021977504134280679e+00
5.812108559498956772e+00,1.025801373526265658e+00
5.912317327766179353e+00,1.029577788253744686e+00
6.012526096033402823e+00,1.033306098542962737e+00
6.112734864300626292e+00,1.036985662897064397e+00
6.212943632567849761e+00,1.040615848206469130e+00
6.313152400835073230e+00,1.044196029857804575e+00
6.413361169102296699e+00,1.047725591841378368e+00
6.513569937369520169e+00,1.051203926857170678e+00
6.613778705636743638e+00,1.054630436419325079e+00
6.713987473903967107e+00,1.058004530959125056e+00
6.814196242171190576e+00,1.061325629926436864e+00
6.914405010438414045e+00,1.064593161889598294e+00
7.014613778705636626e+00,1.067806564633740241e+00
7.114822546972860096e+00,1.070965285257522215e+00
7.215031315240083565e+00,1.074068780268264911e+00
7.315240083507307034e+00,1.077116515675463848e+00
7.415448851774530503e+00,1.080107967082669429e+00
7.515657620041753972e+00,1.083042619777712767e+00
7.615866388308977442e+00,1.085919968821270398e+00
7.716075156576200911e+00,1.088739519133742562e+00
7.816283924843424380e+00,1.091500785580438837e+00
7.916492693110647849e+00,1.094203293055048487e+00
8.016701461377870430e+00,1.096846576561390840e+00
8.116910229645094788e+00,1.099430181293420183e+00
8.217118997912317369e+00,1.101953662713481386e+00
8.317327766179541726e+00,1.104416586628798491e+00
8.417536534446764307e+00,1.106818529266180295e+00
8.517745302713988664e+00,1.109159077344936239e+00
8.617954070981211245e+00,1.111437828147987084e+00
8.718162839248433826e+00,1.113654389591153704e+00
8.818371607515658184e+00,1.115808380290623125e+00
8.918580375782880765e+00,1.117899429628567143e+00
9.018789144050105122e+00,1.119927177816912645e+00
9.118997912317327703e+00,1.121891275959246315e+00
9.219206680584552061e+00,1.123791386110846613e+00
9.319415448851774642e+00,1.125627181336830596e+00
9.419624217118998999e+00,1.127398345768406251e+00
9.519832985386221580e+00,1.129104574657223026e+00
9.620041753653445937e+00,1.130745574427804545e+00
9.720250521920668518e+00,1.132321062728063321e+00
9.820459290187891099e+00,1.133830768477881890e+00
9.920668058455115457e+00,1.135274431915755278e+00
1.002087682672233804e+01,1.136651804643485919e+00
1.012108559498956240e+01,1.137962649668923021e+00
1.022129436325678498e+01,1.139206741446739724e+00
1.032150313152400933e+01,1.140383865917240946e+00
1.042171189979123191e+01,1.141493820543194593e+00
1.052192066805845627e+01,1.142536414344680118e+00
1.062212943632567885e+01,1.143511467931948911e+00
1.072233820459290143e+01,1.144418813536290269e+00
1.082254697286012579e+01,1.145258295038897423e+00
1.092275574112734837e+01,1.146029767997730708e+00
1.102296450939457273e+01,1.146733099672369027e+00
1.112317327766179531e+01,1.147368169046849573e+00
1.122338204592901967e+01,1.147934866850491176e+00
1.132359081419624225e+01,1.148433095576693486e+00
1.142379958246346661e+01,1.148862769499716219e+00
1.152400835073068919e+01,1.149223814689427581e+00
1.162421711899791354e+01,1.149516169024025203e+00
1.172442588726513613e+01,1.149739782200725369e+00
1.182463465553235871e+01,1.149894615744417870e+00
1.192484342379958306e+01,1.149980643014286041e+00
1.202505219206680565e+01,1.149997849208389988e+00
1.212526096033403000e+01,1.149946231366214544e+00
1.222546972860125258e+01,1.149825798369178642e+00
